scrunchie,-5384691959.8031,574615450912.0413,167249303128.2405,167.0000,1.1176
scrunchie,-4312304347.6165,565522910603.3625,161880550070.2813,89.0000,0.9091
scrunchie,-8142803402.4191,582140252866.2439,166282755348.4395,157.0000,1.2667
airpod,-4903375153.8816,618726517628.0562,181919641755.9939,6.0000,1.6667
case,1035584467.3292,622523289644.6018,166784799741.3811,72.0000,1.1111
airpod,-1623317165.8217,620850340184.9431,184562211893.6677,629.5000,0.9000
case,-168064046.9279,621583893776.6057,169128147077.0282,159.5000,1.2000
airpod,786697912.0507,622235188312.2241,171245323205.9351,4.0000,1.3333
case,874857719.5052,622196471212.0938,170574662120.7570,207.5000,1.1667
airpod,630016479.2921,622255191920.9321,171141972376.9712,160.5000,1.0625
